Noisinh,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Mon1,Mon2,Mon3,Mon4,Mon5,KQ
Tỉnh Bình Dương,0,5.6,0,5.2,6.5,7.4,6.7,5.6,5.3,7.0,5.3,1
Trạm xá Phường Thới Hòa,0,8.9,0,6.2,9.0,5.9,8.5,6.5,8.6,6.6,8.3,1
Tỉnh Bình Dương,0,8.3,0,5.8,5.9,5.6,8.4,6.3,5.2,7.0,6.1,1
Tỉnh Hà Nam,0,8.1,0,5.4,6.8,6.0,8.5,6.8,5.7,7.7,6.1,1
Tỉnh Bình Phước,0,7.2,0,6.0,6.7,5.5,8.2,5.8,5.1,7.3,6.9,1
Tỉnh Quảng Ngãi,0,7.8,0,6.4,7.6,6.5,8.2,6.5,8.0,6.6,7.6,1
Tỉnh Bình Dương,0,7.6,0,8.1,9.0,9.0,8.8,7.0,6.9,6.3,9.0,1
Tỉnh Bình Dương,0,8.3,0,6.0,6.8,6.2,7.6,6.6,5.0,5.3,6.4,1
Tỉnh Bình Dương,0,8.5,0,5.2,8.6,5.5,7.8,5.3,5.8,5.6,5.5,1
Tỉnh Bình Dương,0,8.4,0,7.4,8.0,6.0,7.9,5.6,5.2,5.6,8.3,1
Tỉnh Đồng Nai,0,5.8,0,5.6,6.1,5.5,7.0,4.4,4.7,4.6,6.1,0
Tỉnh Bình Dương,0,7.3,0,6.2,6.7,7.0,7.2,5.6,5.1,6.6,6.6,1
Tỉnh Bình Phước,0,9.2,0,8.3,8.9,5.5,8.2,6.8,6.5,6.3,7.5,1
Tỉnh Thanh Hóa,0,8.0,0,8.2,8.4,7.9,8.9,5.6,8.6,6.5,7.5,1
Tỉnh Bình Dương,0,7.8,0,5.3,6.7,5.8,7.4,5.6,5.5,6.0,7.0,1
Tỉnh Bình Dương,0,8.5,0,3.5,5.7,2.2,8.1,6.0,5.0,4.9,6.7,1
Tỉnh Bình Dương,0,5.9,0,5.4,6.0,5.0,5.9,5.0,8.0,6.3,6.0,1
Tỉnh Bình Dương,0,8.4,0,8.0,7.7,6.9,7.2,5.7,5.9,5.0,9.0,1
Tỉnh Bình Dương,0,8.1,0,5.3,6.7,6.4,8.0,5.2,8.0,6.3,6.0,1
Tỉnh Bình Dương,0,8.4,0,5.3,7.9,5.5,9.0,7.0,7.3,6.3,5.9,1
Tỉnh Bình Định,0,7.8,0,5.6,7.6,7.4,7.1,6.3,8.0,5.0,5.2,1
Tỉnh Đồng Nai,0,6.9,0,5.3,7.4,5.3,8.5,6.3,5.3,5.6,5.0,1
Tỉnh Bình Dương,0,6.5,0,6.3,7.5,6.2,7.7,7.2,5.9,7.0,5.3,1
Tỉnh Bình Dương,0,8.5,0,5.5,6.9,5.0,7.0,7.2,5.9,5.3,7.0,1
Tỉnh Bình Dương,0,8.8,0,8.1,9.7,9.7,9.2,6.1,8.6,7.6,9.7,1
Tỉnh Bình Phước,0,5.9,0,6.8,7.0,5.1,8.9,6.3,5.8,5.6,5.3,1
Tỉnh Đắk Lắk,0,7.2,0,6.8,8.3,8.3,7.8,6.6,5.2,5.9,5.0,1
Tỉnh Bình Dương,0,7.9,0,5.2,8.2,6.0,7.8,6.4,7.3,6.3,7.5,1
Thành phố Hồ Chí Minh,0,8.5,0,5.0,7.6,5.6,7.2,5.9,5.0,5.6,6.4,1
Tỉnh Bình Dương,0,8.0,0,5.1,6.8,5.1,8.3,5.1,3.7,6.6,6.9,0
Tỉnh Hải Dương,0,6.8,0,3.1,5.5,4.3,6.4,5.1,4.0,5.0,5.7,0
Tỉnh Bình Dương,0,8.0,0,7.1,7.0,6.5,6.7,5.8,5.1,5.0,7.3,1
Thành phố Hồ Chí Minh,0,7.4,0,5.1,5.8,4.5,6.9,7.5,3.3,7.7,5.5,0
Tỉnh Bình Dương,0,8.5,0,6.3,8.3,6.1,7.0,7.0,5.5,7.0,5.1,1
Tỉnh Đồng Nai,0,8.8,0,6.5,5.7,5.5,8.7,5.2,8.0,5.0,5.3,1
Tỉnh Bình Thuận,0,6.3,0,5.5,7.1,5.0,6.8,5.9,5.2,5.3,6.6,1
Tỉnh Cà Mau,0,7.5,0,6.4,7.7,5.0,7.8,6.1,6.5,6.6,6.3,1
Tỉnh Bình Dương,6.3,5.8,7.5,6.5,5.5,8.3,6.5,6.5,6.5,6.0,7.8,1
Tỉnh Bình Dương,7.9,7.8,8.2,7.5,7.0,6.0,7.5,6.3,5.0,6.3,5.3,1
Tỉnh Bình Dương,6.0,7.1,7.0,5.5,5.0,6.5,5.5,6.5,4.5,7.3,4.8,0
Thành phố Hồ Chí Minh,8.2,5.7,7.0,5.3,5.0,7.0,5.5,5.8,8.0,6.0,6.5,1
Tỉnh Lâm Đồng,7.3,9.7,9.7,8.5,7.0,7.5,9.0,7.5,6.0,6.5,9.8,1
Tỉnh Bình Phước,8.3,8.3,8.2,7.8,6.5,9.0,7.0,7.3,6.8,5.8,7.0,1
Tỉnh Bình Dương,6.1,4.0,6.3,4.1,0,5.3,3.8,5.0,5.3,5.3,2.0,1
Tỉnh Bình Dương,7.7,5.7,8.4,6.8,7.0,6.5,7.5,5.8,5.0,5.8,5.8,1
Tỉnh Bình Dương,7.4,8.0,8.0,6.5,6.0,7.0,4.7,9.0,5.3,8.6,7.8,1
Tỉnh Bình Dương,7.2,5.7,0,7.0,0,5.0,5.3,7.8,6.5,8.2,6.0,1
Tỉnh Thanh Hóa,6.1,8.2,8.2,5.1,6.0,9.8,5.8,6.3,7.0,5.5,5.0,1
Tỉnh Bình Dương,8.0,7.1,8.9,6.9,5.0,7.0,7.8,5.8,5.0,6.3,7.5,1
Tỉnh Đồng Nai,7.3,5.4,7.7,5.8,5.5,5.1,6.3,7.8,5.0,7.5,6.8,1
